Key,Type,Desc,English
剩余储备经验,Text,,Residual reserve experience
剩余点数,Text,,test1
副宠,Text,,PetPosition
千载难逢,Text,,Drop Rate Lv.5
反击伤害,Text,,APR
取 消,Text,,NO
受到Boss技能攻击减免,Text,,Magic Dmg Reduced By boss
受到Boss普通攻击减免,Text,,Armor Dmg Reduced By Boss
受到首领技能减免额外提高,Text,,Magic Dmg Reduced By boss Up 
受到首领攻击减免额外提高,Text,,Armor Dmg Reduced By Boss Up 
召唤天赋,Text,,Summon
可以获得经验加成,Text,,Experience bonus
可镶嵌在,Text,,Inlaid in
吸血,Text,,health steal 
吸血率额外提高,Text,,health steal  Up 
周卡剩余领取次数,Text,,Remains Number
命中,Text,,Hit
命中率,Text,,Attack Rating 
命中等级,Text,,Attack Rating LV
命中等级额外提高,Text,,Attack Rating LV Up 
品质,Text,,Quality
嗜血几率额外提高,Text,,Increased Defense per Hit Up 
回血值,Text,,Replenish Life  X
回血固定值额外提高,Text,,Replenish Life Up 
回血百分比,Text,,Replenish  %
回血百分比额外提高,Text,,Replenish Up 
困难模式,Text,,Challenge
固定伤害额外提高,Text,,Fixed Damage Up 
圣光洗炼,Text,,Holy Polish
地图剩余时间,Text,,Map remaining time
地狱,Text,,Hell
地狱模式,Text,,Hell
地狱难度首胜奖励,Text,,Hell  Reward
复活几率额外提高,Text,,Reborn Chance Up 
多彩,Text,,Colourful 
多彩插槽,Text,,Colourful Hole
天赋系统,Text,,Talent
天赋达到,Text,,Talent points to
头盔,Text,,Helmet
头领,Text,,Leader
孔位,Text,,Hole
宝石,Text,,Gem
宝石熟练度,Text,,Gem Proficiency
宠物,Text,,Pet
宠物受伤减免,Text,,PET Damage reduction
宠物受伤减免额外提高,Text,,
宠物合成,Text,,Pet Mix
宠物攻击加成,Text,,PET Enhanced Damage
宠物攻击加成额外提高,Text,,
宠物系统,Text,,Pet
对话,Text,,Speak
寻找,Text,,Find
寻找到真实宝箱,Text,,Find the real treasure chest
小时,Text,,Hours
小赚一笔,Text,,Drop Rate Lv.2
已上架,Text,,Sell Time : 
已击杀,Text,,Kill Success
已刷新,Text,,Appear
已完成,Text,,Completed
已达成,Text,,Completed
幸运值,Text,,Luck
幸运玩家,Text,,Drop Rate Lv.3
开启周卡需消耗,Text,,Open Week Pass Cost
强化 装备属性提升,Text,,Intensify Proprety
强化成功概率,Text,,Probability
强壮的,Text,,Strong
当前,Text,,Now
当前可免费领取,Text,,Get for free
当前技能点数,Text,,SP
当前爆率,Text,,drop rate
当前版本为最新版本,Text,,Latest Version
当前的等级,Text,,Current Level
当前的经验百分比,Text,,Current experience percentage
当前离线点数,Text,,Current offline points
当前自身的实力值,Text,,Self Strength
当前部位属性提升,Text,,Aktuell Position
必中额外提高,Text,,Increased Hit Up 
忽视目标防御值,Text,,Ignore P-def 
忽视目标防御值额外提高,Text,,Ignore P-def  Up 
忽视目标魔防值,Text,,Ignore M- def
忽视目标魔防值额外提高,Text,,Ignore M- def Up 
怪物脱战距离额外提高,Text,,
恶魔,Text,,Demon
恶魔攻击伤害,Text,,Damage To Demons % 
恶魔攻击抗性,Text,, Demons  Resistance
恶魔攻击抗性额外提高,Text,, Demons  Resistance Up 
成功概率,Text,,Probability
成就,Text,,Achievement
成就列表,Text,,List
成就首页,Text,,Home
我的实力值,Text,,My Strength
我的排名,Text,,MyRank
我的等级,Text,,My Level
战士,Text,,Warrior
战斗回血比例额外提高,Text,,Combat regeneration Up 
战斗回血百分比,Text,,Combat regeneration %
战斗成就,Text,,Fight
手套,Text,,Gloves
打造熟练度,Text,,Make Proficiency
找到符合要求的装备,Text,,Find Target Equip
技能,Text,,Skill
技能冷却时间缩减,Text,,Cooldown Reduction  （cdr）
技能冷却时间缩减额外提高,Text,,Cooldown Reduction Up 
技能点数,Text,,SP
技能等级,Text,,Skill Level
技能闪避,Text,,SkillDog
抓获,Text,,Catch
抗性宝石,Text,,Resistance
折,Text,,percent off
护盾开启,Text,,Shield
护符,Text,,Talismans
抵消伤害,Text,,Counteract
拥有者,Text,,Master
挑战,Text,,Challenge
挑战难度首胜奖励,Text,,Challenge Reward
挖宝位置,Text,,Treasure location
捕捉宠物,Text,,Catch Pet
探宝次数达到,Text,,Times to
探索寻找物品中,Text,,Find Loading
探索成就,Text,,Explore
提升打造极品的概率,Text,,Increase the probability of creating the best quality
提升至,Text,,Up to
携带宠物数量,Text,,test1
支线任务,Text,,Branch Task
收集成就,Text,,Collect
攻击,Text,,Atk
攻击上限,Text,,Max DMG
攻击下限,Text,, Min Dmg
攻击人物伤害额外提高,Text,,Damage To Humanoid Up 
攻击修炼,Text,,ACT Practice
攻击力不足,Text,,Insufficient ATK 
攻击反击,Text,,Attacker Takes Damage
攻击反弹额外提高,Text,,Attacker Takes Damage Of  Up 
攻击大于,Text,,ATK greater than
攻击恶魔伤害额外提高,Text,,Damage To Demons  Up 
攻击穿透额外提高,Text,, Armor Penetration Up 
攻击野兽伤害额外提高,Text,,Damage To beas Up 
攻击附加伤害,Text,,Extra Fixed Damage
无消耗,Text,,Pass
无视防御额外提高,Text,,Ignore Target Defense  Up 
星,Text,,
普普通通,Text,,Drop Rate Lv.1
普通模式,Text,,Normal
普通难度首胜奖励,Text,,Normal Reward
暗影抗性额外提高,Text,,shadow  Resistance Up 
暗抗性,Text,,shadow  Resistance
暴击,Text,,Cri
暴击率,Text,,Critical Chance
暴击等级,Text,,Critical LV
暴击等级额外提高,Text,,Critical LV Up 
最新版本,Text,,New Version
未击杀,Text,,Not Killed
未学习,Text,,Unlearned
未连接服务器获取最新版本,Text,,Server not connected
材料,Text,,Material
极品值额外提高,Text,,
格挡值,Text,,Block Value
格挡值额外提高,Text,,Block Value Up 
概率获得神兽碎片,Text,,Probability Get Mythical Animals Debris
橙色品质的装备,Text,,Orange quality equipment
正在向服务器请求首杀数据,Text,,Requesting first kill data from server
正在退出地图,Text,,Exiting the map
此宠物已经在你的战队中,Text,,This pet is already in your team
此额度每日0点清空,Text,,Every Day Clearn
武器,Text,,Weapon
每日任务,Text,,Daily Task
水抗性,Text,,Fire Resistance
法术上限,Text,,MAX SDMG
法术下限,Text,,MIN SDMG
法术反击,Text,,Spell Attacker Takes Damage
法术反弹额外提高,Text,,Spell Takes Damage Of  Up 
法术强度,Text,,Sp
洗炼极品掉落,Text,,Good Drop
活力,Text,,Ener
活跃度,Text,,Active
海神洗炼,Text,,Poseidon Polish
消耗,Text,,Cost
消耗体力,Text,,Need STA
消耗品,Text,,Material
消耗金币,Text,,Cost
游戏战区,Text,,Server Name
漠灵洗炼,Text,,Desert Undead Polish
火抗性,Text,,Frost Resistance
火焰抗性,Text,,FR
火焰抗性额外提高,Text,,Fire Resistance Up 
灵石,Text,,Ring
灾难值额外提高,Text,,Increase Vulnerable  Up 
点,Text,,
点击放入上阵宠物,Text,,Click to put the pet in the battle
点击放置合成宠物,Text,,Click Put
点击领取作者回馈礼包,Text,,Click Claim
点活跃度奖励,Text,,Activity Award
点的装备,Text,,equipment
炼金暴击!有概率获得双倍收益,Text,,Alchemy Crit！;There is a probability of double income
炼金熟练度,Text,,Alchemy Proficiency
熟练度,Text,,Proficiency
熟练度达到,Text,,Proficiency need
物理免伤提升,Text,,Armor Damage reduction
物防大于,Text,,DEF greater than
环,Text,,
生产药剂暴击概率额外提高,Text,,Extra Elixir From Alchemy  Up 
电抗性,Text,,Lightning Resistance
白色,Text,,White 
白色品质的装备,Text,,White quality equipment
白色插槽,Text,,White
百里挑一,Text,,Drop Rate Lv.4
的头盔,Text,,Helmet
的戒指,Text,,Ring
的手套,Text,,Gloves
的护符,Text,,Talismans
的武器,Text,,Weapon
的腰带,Text,,Belts
的衣服,Text,,Clothes
的裤子,Text,,Pants
的队伍,Text,,Team
的鞋子,Text,,shoes
的项链,Text,,Necklace
的饰品,Text,,Magic
确 定,Text,,Yes
祝福值额外提高,Text,,
神农值额外提高,Text,,
神圣抗性额外提高,Text,,Holy Resistance Up 
离线宝箱奖励,Text,,Offline chest reward
秒,Text,,s
秒后免费领取,Text,,s Get for free
秒后开启,Text,,second Open
秘境值,Text,,Mystic value
移动速度,Text,,MS
移动速度提升,Text,,Movement Speed
穿戴身上激活成就,Text,,Wear activation
第,Text,,No.
第101-200名,Text,,No.101-200
第11-20名,Text,,No.11-20
第1名,Text,,No.1
第201-500名,Text,,No.201-500
第21-30名,Text,,No.21-30
第2名,Text,,No.2
第31-50名,Text,,No.31-50
第3名,Text,,No.3
第4-10名,Text,,No.4-10
第51-100名,Text,,No.51-100
第一个升级至20级的为肝帝,Text,,The first one upgraded to level 20 is the Level king
第一章,Text,,chap. 1
第一章探宝,Text,,Par.1
第三章,Text,,chap. 3
第三章探宝,Text,,Par.3
第二章,Text,,chap. 2
第二章探宝,Text,,Par.2
第五章,Text,,chap. 5
第五章探宝,Text,,Par.5
第四章,Text,,chap. 4
第四章探宝,Text,,Par.4
等级,Text,,Level
等级不足,Text,,Insufficient Level
等级到达,Text,,Level to
等级大于,Text,,Level greater than
类型,Text,,Type
系统提示,Text,,Tips
紫色,Text,,Violet 
紫色品质的装备,Text,,Purple quality equipment
紫色插槽,Text,,Purple
红色,Text,,Red 
红色插槽,Text,,Red
级,Text,,Lv
级冒险家,Text,,Level Adventurer
级学习,Text,,level
级开启购买,Text,,Level open purchase
经验,Text,,Exp
经验加成,Text,,Extra EXP
经验收益额外提高,Text,,Extra EXP Up 
绝世耀眼,Text,,Drop Rate Lv.7
绿色,Text,,Green 
绿色品质的装备,Text,,Green quality equipment
绿色插槽,Text,,Green
肝帝,Text,,Level King
腰带,Text,,Belts
自身buff效果延长,Text,,BUFF Length+ X SEC
英勇洗炼,Text,,Heroic Polish
药剂熟练度增加,Text,,Alchemy LV/point
药剂类熟练度额外提高,Text,,Alchemy point Up 
获得,Text,,Get
蓝色,Text,,Blue 
蓝色品质的装备,Text,,Blue quality equipment
蓝色插槽,Text,,Blue
虚弱的,Text,,Frail
血量,Text,,Hp
血量修炼,Text,,HP Practice
衣服,Text,,Clothes
被动精灵,Text,,Passive
装备,Text,,Equip
装备上的宝石槽位出现概率,Text,,CHANCE Extra Hole
装备制造,Text,,Make
装备隐藏属性出现概率,Text,,CHANCE Hidden Properties
裤子,Text,,Pants
谁与争锋,Text,,Drop Rate Lv.8
财富值额外提高,Text,,Extra Gold Up 
赞助,Text,,Recharge
达到,Text,,to
运气值额外提高,Text,,
进度,Text,,Need
进度值,Text,,Progress
通 用,Text,,General
通用,Text,,General
部位,Text,,Position
重击,Text,,HH
重击概率,Text,,Heavy Hit
重击概率额外提高,Text,,Heavy Hit Up 
重击附加伤害,Text,,Extra HH Damage
重击附加伤害额外提高,Text,,Extra HH Damage Up 
野兽,Text,,Beast
野兽攻击伤害,Text,,Damage To beas % 
野兽攻击抗性,Text,,beast  Resistance
野兽攻击抗性额外提高,Text,,beast  Resistance Up 
金币,Text,,Gold
金币不足,Text,,Not Enough Gold
金币加成,Text,,Extra Gold 
金币收益额外提高,Text,,Extra Gold  Up 
钻石,Text,,Diamond
锻造熟练度增加,Text,,Blacksmithing LV/point
锻造类熟练度额外提高,Text,,Blacksmithing point Up 
镶 嵌,Text,,Inlay
闪电抗性,Text,,LR
闪电抗性额外提高,Text,,Lightning Resistance Up 
闪避,Text,,Dog
闪避 血量,Text,,DOG HP
闪避恢复血量,Text,,Replenish 
闪避率,Text,,Dodge  chance
闪避等级,Text,,Dodge  LV
闪避等级额外提高,Text,,Dodge LV Up 
防御,Text,,Def
防御上限,Text,,MAN DEF
防御下限,Text,,MIN DEF
防御修炼,Text,,DEF Practice
隐藏属性,Text,,Hide
需要,Text,,Need
需要战力达到,Text,,Need Strength to
需要熟练度,Text,,Need Proficiency
需要等级,Text,,Need Lv
需要等级达到,Text,,Need Level to
鞋子,Text,,shoes
韧性,Text,,CRIT Resist
韧性概率额外提高,Text,,CRIT Resist Up 
韧性等级,Text,,CRIT Resist LV
韧性等级额外提高,Text,,CRIT Resist LV Up 
项链,Text,,Necklace
饰品,Text,,Magic
首领技能加成额外提高,Text,,Magic Dmg To Boss Up 
首领攻击加成额外提高,Text,,Armor Dmg To Boss Up 
高级技能,Text,,Advanced
魔法免伤提升,Text,,Spell Damage reduction
魔法天赋,Text,,Magic
魔法师,Text,,Magician
魔法穿透额外提高,Text,,Spell Penetration Up 
魔防,Text,,Res
魔防上限,Text,,MAX RES
魔防下限,Text,,MIN RES
魔防大于,Text,,ADF greater than
黑暗抗性,Text,,SR
